b1288;Berg, Alban Maria Johannes;2
s0880;Scholz, Bernhard;2
b0802;Bose, Hans-Jürgen von;2
s4058;Schwarz, Anton (2);2
j0087;Jerger, Alfred;2
b0923;Breu, Simon;2
h0432;Hasse, Johann Adolf;2
q0017;Quantz, Johann Joachim;2
n0037;Naumann, Johann Gottlieb;2
w0264;Weber, Ludwig (2);2
k0366;Kiesewetter, Peter;2
k0261;Kempter, Lothar;2
m0737;Mingotti, Caterina Regina;2
b0725;Böhm, Karl;2
h0406;Hartmann, Karl Amadeus;2
u0043;Unger, Hermann;2
l0245;Lauterbach, Johann Christoph;2
k0722;Körner, Walther;2
t0095;Thiel, Carl;2
m0448;Maier, Julius Joseph;2
r0856;Rovelli, Pietro;2
w0154;Walter, Josef;2
k1350;Károlyi, Julian von;1
h0582;Heider, Werner;1
b0298;Beck, Hermann;1
c0235;Cornelius, Peter;1
w0289;Wehrli, Werner;1
h0816;Herrmann, Hugo;1
k1639;Krenn, Fritz;1
h0426;Hashagen, Klaus;1
l0354;Leitner, Ferdinand;1
s1578;Spilling, Robert;1
v0180;Volkmann, Otto;1
w1844;Walker, Luise;1
j0230;Jochum, Eugen;1
e0037;Eck, Franz Anton;1
w0530;Westermann, Kay;1
p0787;Prohaska, Jaro;1
c0244;Cortolezis, Fritz;1
r0584;Ries, Hubert;1
a0808;Albert, Eugen d??;1
f0701;Fürstenau, Moritz;1
n0105;Neumaier, Ferdinand;1
r1746;Rufinatscha, Johann;1
d0913;De Waart, Edo;1
r0188;Rebner, Wolfgang E.;1
p1391;Pohlig, Karl;1
k0060;Kaleve, Gustav;1
z0526;Zelenka, Jan Dismas;1
h1306;Holliger, Heinz;1
g0424;Göllerich, August;1
k0211;Kelemen, Milko;1
h1142;Hoesslin, Walter von;1
g0516;Graef, Otto Alfons;1
p0070;Parker, Horatio W.;1
r1042;Rosenberg, Wolf;1
d0560;Dengg, Michael;1
l0714;Lohse, Otto;1
h1056;Högg, Max;1
m1995;Menz, Julia;1
s3278;Schmidkunz, Walter;1
f1483;Feudel, Elfriede;1
v0003;Valentin, Erich Karl Paul;1
l0197;Laszlo, Alexander;1
a0429;Averkamp, Anton;1
g0145;Gebhard, Hans;1
t0106;Thoma, Annette;1
b0316;Beckerath, Alfred von;1
b0669;Bloch, Ernest;1
r1026;Ritter, Jakob;1
m1163;Mehta, Zubin;1
s0406;Schilling, Hans Ludwig;1
d0923;Deman, Rudolf;1
g1535;Gál, Hans;1
h2386;Halíř, Karel;1
m1819;Mixa, Franz;1
b1672;Blankensee, Julius;1
o0435;Ortner, Jakob;1
l0598;List, Karl;1
k0030;Kahl, Willi;1
r0341;Reinmar, Hans Eduard;1
h2067;Holl, Robert;1
a0711;Agricola, Johann Friedrich;1
h1304;Hollfelder, Peter;1
s1698;Stark, Ludwig;1
t0746;Tricht, Käte van;1
j0409;Jansons, Mariss;1
z0135;Zenck, Hermann;1
f0284;Fischer, Franz von;1
s0007;Saar, Hermann;1
h2323;Haustein, Joseph;1
s0005;Saalfeld, Ralf von;1
